seed,auc,f1,recall,precision_aware,composite
1,0.7430463576158941,0.6272727272727273,0.6571428571428571,0.636791089704997,0.6653625182764256
2,0.7160517187007254,0.6190476190476191,0.6190476190476191,0.6384484389782403,0.6384484389782403
3,0.6756859035004731,0.5395348837209303,0.5523809523809524,0.5606340094527373,0.5731881220068499
4,0.7372437716808576,0.6386554621848739,0.7238095238095238,0.6247596787059194,0.7009501548963957
5,0.7690949227373068,0.6291079812206573,0.638095238095238,0.6527365640988437,0.6615989979612775
6,0.7031851151056447,0.5728643216080402,0.5428571428571428,0.6156878088652431,0.5839248909321124
7,0.7280353200883003,0.6301369863013698,0.6571428571428571,0.6372797388554394,0.6632195884794996
8,0.7213497319457584,0.5972850678733032,0.6285714285714286,0.6079382253718323,0.637741181036857
9,0.6823714916430148,0.5288461538461539,0.5238095238095238,0.562118435744585,0.557032906387211
10,0.665279091769158,0.5914396887159533,0.7238095238095238,0.5604877249686177,0.6723924868733795
11,0.7388205613371176,0.6180257510729614,0.6857142857142857,0.614421837589312,0.6760289804464548
12,0.7089877010406811,0.5641025641025641,0.5238095238095238,0.616583864994461,0.5729330713436673
13,0.7441185745821508,0.6027397260273972,0.6285714285714286,0.6191193169351756,0.6439313470103636
14,0.7512456638284454,0.6431718061674009,0.6952380952380952,0.6423810024847618,0.6908197222349569
15,0.7319457584358247,0.5454545454545454,0.5142857142857142,0.6003480959686899,0.5671683724663856
16,0.7280983916745506,0.5333333333333333,0.45714285714285713,0.6256196783349102,0.5341911069063388
17,0.7108167770419426,0.5975103734439834,0.6857142857142857,0.5861223497945247,0.6642736102987264
18,0.7089246294544308,0.600896860986547,0.638095238095238,0.6059522892715961,0.6411016032344693
19,0.7367391989908546,0.625,0.7142857142857143,0.6126256175759487,0.6919906969410281
20,0.7191422264269947,0.6175115207373272,0.638095238095238,0.6281890443637399,0.6481295205542161
